63 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68425,68253
64 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68425,68253
65 (10): 329974,329979,329978,329977,329975,329976,68252,68426,68253,68254
66 (10): 329975,329974,329979,329976,329977,329978,201931,201932,201930,201929
67 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68425,68253
68 (10): 329974,329979,329978,329975,329977,329976,201931,201932,201930,201929
69 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68253,68425
70 (10): 329974,329979,329978,329975,329977,329976,201931,201932,201930,201929
71 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68253,68425
72 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68425,68253
73 (10): 329974,329979,329978,329977,329975,329976,68252,68426,68253,68254
74 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68253,68425
75 (10): 329976,329977,329978,329975,329974,329979,68257,68256,68258,68259
76 (10): 329975,329976,329977,329974,329979,329978,68281,68280,68282,68283
77 (10): 329974,329979,329978,329975,329977,329976,201931,201932,201930,201929
78 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68253,68254
79 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68253,68254
80 (10): 329976,329977,329975,329978,329974,329979,68274,68273,68271,68272
81 (10): 329974,329979,329978,329977,329975,329976,68252,68426,68253,68425
82 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68253,68254
83 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68253,68254
84 (10): 329976,329977,329975,329978,329974,329979,68274,68273,68271,68272
85 (10): 445736,445735,445737,445734,445733,445739,445738,348382,348381,348380
86 (10): 445735,445736,445733,445739,445734,445738,445737,30984,30983,30977
87 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68425,68253
88 (10): 30977,30976,30978,30970,30971,30975,30974,30973,30972,30979
89 (10): 30977,30976,30970,30978,30971,30975,30974,30973,30972,30979
90 (10): 445736,445735,445734,445737,445733,445739,445738,348382,348381,348380
91 (10): 329974,329979,329978,329977,329975,329976,201932,201931,201928,201933
92 (10): 445735,445736,445734,445733,445739,445738,445737,30977,30978,30976
93 (10): 445735,445736,445734,445733,445739,445738,445737,30977,30978,30976
94 (10): 445735,445736,445734,445733,445739,445738,445737,348380,348386,348381
95 (10): 445736,445735,445734,445733,445739,445737,445738,30977,30978,30976
96 (10): 329978,329974,329979,329977,445736,329976,329975,445735,445734,445737
97 (10): 445735,445736,445734,445733,445739,445738,445737,348380,348386,348381
98 (10): 30970,30971,30977,30976,30975,30974,30973,30972,30978,30979
99 (10): 445736,445735,445734,445737,445733,445739,445738,348380,348386,348381
