82 (10): 6764,1642,4888,4669,9311,7001,9788,4319,3260,3905
83 (10): 6764,1642,4888,4669,9311,7001,9788,4319,3260,3905
84 (10): 6764,1642,4888,9788,4319,4669,7001,9311,3260,3905
85 (10): 9311,7001,6764,1642,3905,3260,803,5361,4888,4669
86 (10): 9311,803,7001,5361,3905,3260,5762,6764,1642,4669
87 (10): 6764,1642,9311,7001,4888,3260,3905,4669,803,5887
88 (10): 803,5361,9311,7001,6764,4669,1642,3905,6595,5762
89 (10): 803,5361,9311,7001,5762,1737,7466,6764,4669,6595
90 (10): 9311,7001,6764,1642,803,3905,3260,5361,4669,4888
91 (10): 6764,4669,1642,9311,7001,4888,803,6595,9874,5361
92 (10): 9311,803,7001,5361,6764,1642,3905,3260,4669,5762
93 (10): 9311,803,7001,5361,6764,1642,3905,3260,4669,5762
94 (10): 9311,7001,803,5361,6764,3905,1642,3260,4669,5762
95 (10): 9311,803,7001,5361,6764,1642,4669,3905,3260,6595
96 (10): 6764,9311,7001,1642,803,4669,5361,3905,3260,4888
97 (10): 9311,7001,803,5361,3905,6764,3260,1642,4669,5762
98 (10): 803,5361,9311,4669,7001,6764,6595,9874,1642,8398
99 (10): 9311,7001,6764,1642,803,5361,4669,3905,3260,4888
